	tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
231150	tt10102746	movie	The Forgotten	The Forgotten	0	2020	\N	58	Drama
231224	tt10106082	movie	Conversaciones	Conversaciones	0	2020	\N	\N	Comedy,Drama,Mystery
231231	tt10106394	movie	Forest for the Trees	Forest for the Trees	0	2020	\N	92	Documentary
231248	tt10107222	movie	Cocoon	Kokon	0	2020	\N	95	Drama,Romance
231258	tt10108062	movie	Lavinya	Lavinya	0	2020	\N	100	Drama
231292	tt10110022	movie	Zakleté pírko	Zakleté pírko	0	2020	\N	\N	Family,Fantasy
231315	tt10110912	movie	Rock 4	Rock 4	0	2020	\N	110	Musical
231330	tt10111116	movie	Scarred	Scarred	0	2020	\N	60	Biography
231333	tt10111180	movie	Millennium Bugs	Millennium Bugs	0	2020	\N	\N	Comedy
231343	tt10111440	movie	Aadya	Aadya	0	2020	\N	\N	Thriller
231361	tt10112032	movie	Askedager	Askedager	0	2020	\N	\N	Drama
231399	tt10115438	movie	Indemnity	Indemnity	0	2020	\N	\N	Romance,Thriller
231476	tt10117768	movie	My Little Sister	Schwesterlein	0	2020	\N	99	Drama
231513	tt10120472	movie	My Daughter's Psycho Friend	My Daughter's Psycho Friend	0	2020	\N	\N	Drama
231531	tt10121110	movie	The Art of Dying Away	A Arte de Morrer Longe	0	2020	\N	\N	Drama
231550	tt10121508	movie	Test Pattern	Test Pattern	0	2020	\N	82	Drama,Thriller
231555	tt10121702	movie	Ghostwritten	Ghostwritten	0	2020	\N	\N	Thriller
231592	tt10122486	movie	I Need You Dead!	I Need You Dead!	0	2020	\N	107	Comedy,Horror
231601	tt10122618	movie	Gondi	Gondi	0	2020	\N	112	Drama
231611	tt10123698	movie	Miss	Miss	0	2020	\N	107	Comedy
231622	tt10125260	movie	Rush to Judgment: Encounter at the Lincoln Memorial	Rush to Judgment: Encounter at the Lincoln Memorial	0	2020	\N	\N	Documentary
231632	tt10125706	movie	Beer Pioneers	Beer Pioneers	0	2020	\N	\N	Documentary
231634	tt10125752	movie	Bad Men from a Melting Moon	Bad Men from a Melting Moon	0	2020	\N	83	Fantasy
231651	tt10126136	movie	Tribal Get Out Alive	Tribal Get Out Alive	0	2020	\N	\N	Action,Horror,Thriller
231671	tt10126434	movie	Scare Me	Scare Me	0	2020	\N	104	Horror
231684	tt10126780	movie	Kazka staroho melnyka	Kazka staroho melnyka	0	2020	\N	93	Family
231691	tt10127410	movie	Stolen Identity 2	Sumaho wo otoshita dake na no ni: Toraware no satsujinki	0	2020	\N	118	Thriller
231695	tt10127518	movie	Norie	Norie	0	2020	\N	\N	Documentary
231702	tt10127684	movie	Bronx	Bronx	0	2020	\N	\N	Action,Crime,Thriller
231709	tt10127760	movie	Fishing and Fisherman's Conversations	Fishing and Fisherman's Conversations	0	2020	\N	\N	Biography,Drama
231792	tt10131028	movie	Honesty Weekend	Honesty Weekend	0	2020	\N	90	Comedy
231808	tt10132196	movie	Zenek	Zenek	0	2020	\N	115	Biography,Music
231813	tt10132488	movie	Sakura	Sakura	0	2020	\N	\N	Drama,Family
231821	tt10132976	movie	The Salt of Tears	Le sel des larmes	0	2020	\N	100	Drama
231822	tt10132980	movie	Into the Grey	Into the Grey	0	2020	\N	\N	Thriller
231896	tt10135310	movie	The Castle	The Castle	0	2020	\N	\N	Horror
